County,Year,precip
Bourbon,2017,44.26
Brown,2017,29.83
Butler,2017,34.73
Chase,2017,32.92
Chautauqua,2017,41.77
Cherokee,2017,51.3
Cheyenne,2017,20.53
Clark,2017,22.04
Clay,2017,30.94
Cloud,2017,30.94
Coffey,2017,35.78
Comanche,2017,22.66
Cowley,2017,39.41
Crawford,2017,51.76
Decatur,2017,22.79
Dickinson,2017,30.25
Doniphan,2017,29.83
Douglas,2017,40.95
Edwards,2017,25.4
Elk,2017,35.77
Ellis,2017,25.67
Ellsworth,2017,27.76
Finney,2017,21.25
Ford,2017,25.54
Franklin,2017,39.64
Geary,2017,32.12
Gove,2017,24.15
Graham,2017,23.02
Grant,2017,25.09
Gray,2017,23.53
Greeley,2017,24.07
Greenwood,2017,36.29
Hamilton,2017,23.82
Harper,2017,29.56
Harvey,2017,28.1
Haskell,2017,23.26
Hodgeman,2017,25.71
Jackson,2017,32.91
Jefferson,2017,38.02
Jewell,2017,23.44
Johnson,2017,45.36
Kearny,2017,22.21
Kingman,2017,30.66
Kiowa,2017,23.65
Labette,2017,47.89
Lane,2017,21.87
Leavenworth,2017,43.47
Lincoln,2017,26.55
Linn,2017,43.28
Logan,2017,25.11
Lyon,2017,34.93
Marion,2017,28.42
Marshall,2017,28.23
McPherson,2017,26.2
Meade,2017,22.09
Miami,2017,45.18
Mitchell,2017,23.72
Montgomery,2017,43.86
Morris,2017,34.14
Morton,2017,22.41
Nemaha,2017,27.84
Neosho,2017,49.71
Ness,2017,23.12
Norton,2017,23.6
Osage,2017,36.45
Osborne,2017,22.44
Ottawa,2017,28.44
Pawnee,2017,24.21
Phillips,2017,24.68
Pottawatomie,2017,29.83
Pratt,2017,25.44
Rawlins,2017,24.97
Reno,2017,26.41
Republic,2017,25.89
Rice,2017,26.45
Riley,2017,29.75
Rooks,2017,21.67
Rush,2017,22.03
Russell,2017,22.44
Saline,2017,25.93
Scott,2017,21.84
Sedgwick,2017,31.51
Seward,2017,22.46
Shawnee,2017,36.41
Sheridan,2017,27.64
Sherman,2017,25.56
Smith,2017,23.98
Stafford,2017,23.48
Stanton,2017,22.96
Stevens,2017,26.47
Sumner,2017,34.64
Thomas,2017,27.42
Trego,2017,21.82
Wabaunsee,2017,34.43
Wallace,2017,24.95
Washington,2017,29.26
Wichita,2017,23.92
Wilson,2017,38.67
Woodson,2017,37.42
Wyandotte,2017,44.63
Allen,2018,46
Anderson,2018,42.89
Atchison,2018,33.81
Barber,2018,38.56
Barton,2018,31.04
Bourbon,2018,40.51
Brown,2018,34.85
Butler,2018,39.47
Chase,2018,36.35
Chautauqua,2018,39.55
Cherokee,2018,38.61
Cheyenne,2018,22.05
Clark,2018,28.82
Clay,2018,35.94
Cloud,2018,35.03
Coffey,2018,40.98
Comanche,2018,31.13
Cowley,2018,37.46
Crawford,2018,38.52
Decatur,2018,25.75
Dickinson,2018,35.49
Doniphan,2018,34.45
Douglas,2018,31.48
Edwards,2018,31.61
Elk,2018,37.33
Ellis,2018,35.16
Ellsworth,2018,31.62
Finney,2018,24.56
Ford,2018,30.73
Franklin,2018,36.28
Geary,2018,33.55
Gove,2018,27.13
Graham,2018,30.49
Grant,2018,24.13
Gray,2018,28.06
Greeley,2018,20.04
Greenwood,2018,39.94
Hamilton,2018,22.55
Harper,2018,35.85
Harvey,2018,35.58
Haskell,2018,25.45
Hodgeman,2018,29.17
Jackson,2018,30.71
Jefferson,2018,28.21
Jewell,2018,33.96
Johnson,2018,33.57
Kearny,2018,23
Kingman,2018,41.2
Kiowa,2018,32.56
Labette,2018,42.85
Lane,2018,23.85
Leavenworth,2018,31.79
Lincoln,2018,31.07
Linn,2018,42.01
Logan,2018,20.51
Lyon,2018,36.07
Marion,2018,35.29
Marshall,2018,38.08
McPherson,2018,35.42
Meade,2018,28.85
Miami,2018,35.31
Mitchell,2018,34.05
Montgomery,2018,43.21
Morris,2018,35.62
Morton,2018,20.78
Nemaha,2018,33.88
Neosho,2018,42.21
Ness,2018,27.38
Norton,2018,28.29
Osage,2018,32.9
Osborne,2018,33.85
Ottawa,2018,34.87
Pawnee,2018,30.37
Phillips,2018,28.63
Pottawatomie,2018,34.38
Pratt,2018,34.82
Rawlins,2018,23.39
Reno,2018,36.76
Republic,2018,33.3
Rice,2018,35.29
Riley,2018,34.47
Rooks,2018,32.37
Rush,2018,31.37
Russell,2018,31.38
Saline,2018,32.31
Scott,2018,19.75
Sedgwick,2018,33.35
Seward,2018,27.2
Shawnee,2018,29.16
Sheridan,2018,25.11
Sherman,2018,21.18
Smith,2018,30.43
Stafford,2018,32.51
Stanton,2018,21.54
Stevens,2018,25.2
Sumner,2018,35.29
Thomas,2018,22.4
Trego,2018,28.75
Wabaunsee,2018,32.48
Wallace,2018,19.92
Washington,2018,38.01
Wichita,2018,19.56
Wilson,2018,39.01
Woodson,2018,41.58
Wyandotte,2018,32.68
Allen,2019,61.12
Anderson,2019,54.49
Atchison,2019,46.54
Barber,2019,33.71
Barton,2019,31.69
Bourbon,2019,60.5
Brown,2019,45.59
Butler,2019,51.31
Chase,2019,47.77
Chautauqua,2019,50.7
Cherokee,2019,65.77
Cheyenne,2019,18.85
Clark,2019,27.58
Clay,2019,42.83
Cloud,2019,37.25
Coffey,2019,54.82
Comanche,2019,29.34
Cowley,2019,57.53
Crawford,2019,66.51
Decatur,2019,26.2
Dickinson,2019,39.4
Doniphan,2019,44.71
Douglas,2019,54.23
Edwards,2019,27.81
Elk,2019,50.14
Ellis,2019,32.09
Ellsworth,2019,34.26
Finney,2019,16.83
Ford,2019,25.13
Franklin,2019,56.45
Geary,2019,41.84
Gove,2019,23.31
Graham,2019,27.58
Grant,2019,16.93
Gray,2019,20.56
Greeley,2019,18.97
Greenwood,2019,55.41
Hamilton,2019,16.71
Harper,2019,40.45
Harvey,2019,41.71
Haskell,2019,18.56
Hodgeman,2019,22.91
Jackson,2019,46.73
Jefferson,2019,49.41
Jewell,2019,36.56
Johnson,2019,49.94
Kearny,2019,16.56
Kingman,2019,37.44
Kiowa,2019,28.92
Labette,2019,64.86
Lane,2019,19.66
Leavenworth,2019,49.06
Lincoln,2019,32.31
Linn,2019,56.66
Logan,2019,21.99
Lyon,2019,48.65
Marion,2019,42.18
Marshall,2019,45.38
McPherson,2019,38.55
Meade,2019,26.8
Miami,2019,51.04
Mitchell,2019,32.73
Montgomery,2019,57.39
Morris,2019,43.85
Morton,2019,16.66
Nemaha,2019,47.62
Neosho,2019,64.39
Ness,2019,23.84
Norton,2019,26.4
Osage,2019,51.94
Osborne,2019,31.78
Ottawa,2019,35.56
Pawnee,2019,28.09
Phillips,2019,27.6
Pottawatomie,2019,47.96
Pratt,2019,28.5
Rawlins,2019,23.66
Reno,2019,34.46
Republic,2019,38.83
Rice,2019,34.44
Riley,2019,45.76
Rooks,2019,29.31
Rush,2019,32.94
Russell,2019,30.4
Saline,2019,37.7
Scott,2019,18.16
Sedgwick,2019,44.97
Seward,2019,21.8
Shawnee,2019,46.9
Sheridan,2019,26.82
Sherman,2019,21.31
Smith,2019,30.05
Stafford,2019,27.7
Stanton,2019,15.51
Stevens,2019,19.84
Sumner,2019,50.72
Thomas,2019,25.15
Trego,2019,24.64
Wabaunsee,2019,47.6
Wallace,2019,21.74
Washington,2019,42.72
Wichita,2019,16.85
Wilson,2019,58.57
Woodson,2019,55.52
Wyandotte,2019,49.61
Allen,2020,36.21
Anderson,2020,34.47
Atchison,2020,38.38
Barber,2020,27.77
Barton,2020,24.64
Bourbon,2020,39.98
Brown,2020,33.69
Butler,2020,34.59
Chase,2020,33.45
Chautauqua,2020,41.98
Cherokee,2020,48.62
Cheyenne,2020,12.45
Clark,2020,22.66
Clay,2020,29.4
Cloud,2020,28.59
Coffey,2020,30.87
Comanche,2020,25.42
Cowley,2020,35.5
Crawford,2020,44.56
Decatur,2020,15.06
Dickinson,2020,29.81
Doniphan,2020,39.71
Douglas,2020,35.73
Edwards,2020,26.9
Elk,2020,38.27
Ellis,2020,22.69
Ellsworth,2020,27.31
Finney,2020,15.81
Ford,2020,24.17
Franklin,2020,33.5
Geary,2020,33.61
Gove,2020,15.15
Graham,2020,16.23
Grant,2020,13.63
Gray,2020,18.48
Greeley,2020,13.49
Greenwood,2020,36.05
Hamilton,2020,12.62
Harper,2020,30.32
Harvey,2020,28.29
Haskell,2020,16.1
Hodgeman,2020,22.72
Jackson,2020,33.07
Jefferson,2020,35.71
Jewell,2020,23.11
Johnson,2020,36.43
Kearny,2020,15.97
Kingman,2020,30.12
Kiowa,2020,26.42
Labette,2020,48.89
Lane,2020,17.37
Leavenworth,2020,35.7
Lincoln,2020,26.75
Linn,2020,37.03
Logan,2020,13.91
Lyon,2020,30.66
Marion,2020,27.78
Marshall,2020,31.02
McPherson,2020,27.62
Meade,2020,20.13
Miami,2020,37.96
Mitchell,2020,25.79
Montgomery,2020,45.81
Morris,2020,29.29
Morton,2020,12.74
Nemaha,2020,30.4
Neosho,2020,40.83
Ness,2020,20.34
